"fips";"state_cd";"name";"population"
1;"AL";"Alabama";4887871
2;"AK";"Alaska";737438
4;"AZ";"Arizona";7171646
5;"AR";"Arkansas";3013825
6;"CA";"California";39557045
8;"CO";"Colorado";5695564
9;"CT";"Connecticut";3572665
10;"DE";"Delaware";967171
11;"DC";"District of Columbia";702455
12;"FL";"Florida";21299325
13;"GA";"Georgia";10519475
15;"HI";"Hawaii";1420491
16;"ID";"Idaho";1754208
17;"IL";"Illinois";12741080
18;"IN";"Indiana";6691878
19;"IA";"Iowa";3156145
20;"KS";"Kansas";2911510
21;"KY";"Kentucky";4468402
22;"LA";"Louisiana";4659978
23;"ME";"Maine";1338404
24;"MD";"Maryland";6042718
25;"MA";"Massachusetts";6902149
26;"MI";"Michigan";9995915
27;"MN";"Minnesota";5611179
28;"MS";"Mississippi";2986530
29;"MO";"Missouri";6126452
30;"MT";"Montana";1062305
31;"NE";"Nebraska";1929268
32;"NV";"Nevada";3034392
33;"NH";"New Hampshire";1356458
34;"NJ";"New Jersey";8908520
35;"NM";"New Mexico";2095428
36;"NY";"New York";19542209
37;"NC";"North Carolina";10383620
38;"ND";"North Dakota";760077
39;"OH";"Ohio";11689442
40;"OK";"Oklahoma";3943079
41;"OR";"Oregon";4190713
42;"PA";"Pennsylvania";12807060
44;"RI";"Rhode Island";1057315
45;"SC";"South Carolina";5084127
46;"SD";"South Dakota";882235
47;"TN";"Tennessee";6770010
48;"TX";"Texas";28701845
49;"UT";"Utah";3161105
50;"VT";"Vermont";626299
51;"VA";"Virginia";8517685
53;"WA";"Washington";7535591
54;"WV";"West Virginia";1805832
55;"WI";"Wisconsin";5813568
56;"WY";"Wyoming";577737
60;"AS";"American Samoa";0
66;"GU";"Guam";165768
69;"MP";"Northern Mariana Islands";56882
72;"PR";"Puerto Rico";3195153
74;"UM";"U.S. Minor Outlying Islands";0
78;"VI";"U.S. Virgin Islands";106977
